Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Amaar Family Resto,Chandan Nagar,3.6,230,850,"['Chinese', 'North Indian', 'Seafood', 'Mangalorean']"
ibaco,Kalyani Nagar,3.6,60,300,"['Desserts', 'Ice Cream']"
Pratik Restaurant,Bhosari,0,0,200,['North Indian']
Cafe Black and white,Narhe,0,0,400,['Cafe']
Tapri The Street Cafe,Hadapsar,3.6,77,400,"['North Indian', 'Fast Food', 'Chinese', 'South Indian']"
Haveli Unlimited,Kothrud,3.7,136,700,"['Mangalorean', 'Seafood', 'Biryani']"
Mad About Drinks,Law College Road,3.8,157,1100,"['Finger Food', 'Asian', 'Continental', 'North Indian', 'Pizza']"
Shri Sai Lunch Home,Sadashiv Peth,3.4,81,450,"['North Indian', 'Maharashtrian']"
Janjira Sea Food Resto,Sadashiv Peth,3.9,315,1200,"['North Indian', 'Mughlai', 'Chinese', 'Seafood']"
Hotel Sahil,Rasta Peth,3.3,,300,"['North Indian', 'Biryani', 'Mughlai']"
Marvel's Cake and Bake,Kharadi,3.6,72,350,"['Bakery', 'Desserts']"
Darvatkar Dosa Center,Katraj,3.2,14,250,['South Indian']
Taha - Curry & More,Kharadi,4,210,500,"['North Indian', 'Chinese', 'Biryani']"
Chawadi Grand,Chinchwad,3.6,48,800,"['Chinese', 'North Indian', 'Seafood']"
AFC,NIBM Road,2.9,143,400,['Fast Food']
World Of Sweets,Wakad,3.1,,500,['Mithai']
Bora Chinese,Viman Nagar,3.5,,500,['Chinese']
Spice Garden,Kothrud,3.7,263,1000,"['North Indian', 'Chinese']"
Alpona Bengali Hotel and Sweets,Viman Nagar,0,0,300,['Bengali']
China In Box,Katraj,3.4,257,650,['Chinese']
Indu Veg Restaurant,Katraj,3.5,132,700,"['North Indian', 'South Indian', 'Fast Food']"
China Hut,Kothrud,3.2,,,['Chinese']
Rajeshahi Biryani's,Bibvewadi,3.1,34,500,"['Biryani', 'North Indian', 'Malwani']"
Urban Spices,Lonavala,3.2,,,"['North Indian', 'Biryani', 'Chinese']"
Bobby Da Dhaba,Dehu Road,3.2,20,400,['North Indian']
LE SHAWARMA,Wagholi,3.1,45,400,"['Lebanese', 'Fast Food']"
Khandesh Jalgaon MH 19,Warje,3.3,67,300,['North Indian']
Piano Pizza,Shivane,0,0,,['Pizza']
Kumbhakaran.com,KP and Kalyani,3.5,96,,"['Fast Food', 'North Indian', 'Chinese', 'South Indian']"
Your Ale House,Baner,3.8,284,1400,"['Continental', 'North Indian', 'Finger Food', 'Fast Food']"
Padma Foods,Law College Road,3.5,20,200,"['South Indian', 'Beverages']"
Shangri-La,Erandwane,2.9,189,850,"['North Indian', 'Finger Food', 'Chinese', 'Continental', 'Maharashtrian']"
The Davanageri Benne Dosa,Chinchwad,3.8,,250,['South Indian']
Manali Pure Veg,Erandwane,3.2,155,600,"['North Indian', 'Chinese', 'Fast Food', 'South Indian']"
Makkhan Maar Ke,SB Road - Aundh,3.6,604,700,"['North Indian', 'Mughlai', 'Afghan', 'Biryani', 'Kebab']"
Dragon Family Restaurant,JM Road,2.7,106,600,"['Chinese', 'North Indian']"
Kirti Fruit Juice Center,FC Road,3.9,170,300,"['Beverages', 'Street Food']"
Abhiman Pure Veg,Pashan,3.1,67,550,"['North Indian', 'Chinese']"
Ice N Spice,Katraj,3.7,551,600,"['Biryani', 'Mughlai', 'North Indian', 'Chinese']"
Food Pot,Baner,,0,,['North Indian']
Chaurasiya Pan Shop,Sinhgad Road,,0,100,['Paan']
Shri Venkatesh Food Corner,Pune-Solapur Road,,0,450,"['South Indian', 'North Indian']"
MOMOS HOUSE,Bhosari,2.9,,200,['Momos']
Nice Feel Cafe,Hinjawadi,3.1,,500,"['Cafe', 'Fast Food', 'Beverages', 'Desserts', 'Chinese']"
MK Foods,Balewadi,3.2,,200,"['North Indian', 'Fast Food', 'Biryani']"
Cream & Crush,Katraj,0,0,200,"['Desserts', 'Fast Food']"
A-1 Hyderabad Dum Biryani,Balewadi,0,0,400,['Biryani']
The Misal Story,Kothrud,0,0,350,['South Indian']
Le Tiffin,Mundhwa,0,0,,['North Indian']
Delhi 6,Viman Nagar,0,0,,['North Indian']
Fnp Cakes 'n' More,Hinjawadi,0,0,500,"['Bakery', 'Cafe', 'Fast Food', 'Beverages']"
Kolkata Diaries,KP and Kalyani,0,0,,"['North Indian', 'Chinese', 'Bengali']"
Hotel Vidarbha Tadka,Karve Nagar,,0,500,"['Maharashtrian', 'North Indian', 'Chinese']"
Dhhyaas's Hydrabad Biryani Paradise,Hadapsar,3,,700,"['Biryani', 'North Indian', 'Chinese']"
Sushil Misal And Pohe,Sadashiv Peth,3.7,,150,['Street Food']
7 Apple Resort - Appetite,Lonavala,3.3,,999,"['North Indian', 'Chinese', 'Continental']"
The Divine Cafe,Kharadi,3.4,,300,['Fast Food']
Breakfast,Dhole Patil Road,,0,600,"['North Indian', 'Chinese', 'Fast Food']"
Wholesome Box,Shivaji Nagar,,0,,['Healthy Food']
Shahi Darbar,Camp Area,,0,500,"['Chinese', 'North Indian']"
Kolhapuri Mirchi,NIBM Road,3.4,,300,['North Indian']
Cream Bell,Hadapsar,,0,300,"['Ice Cream', 'Desserts']"
A1 xprs,Akurdi,3.2,,400,['Mughlai']
Pizza Bytes,Kharadi,3.1,,150,"['Pizza', 'Burger']"
Salad Story,Kondhwa,3.5,31,350,"['Salad', 'Arabian', 'Lebanese', 'Fast Food']"
Foodies Table,Baner,3.1,,500,"['Chinese', 'South Indian', 'North Indian']"
Arun Ice Cream,Nigdi,,0,200,['Ice Cream']
Garwa Veg & Nonveg,Hadapsar,3,,350,"['North Indian', 'Chinese']"
Tasty Punjab,Magarpatta,3.7,,,"['North Indian', 'Desserts']"
Chicken Xperience By Venkys,Narhe,3.1,,400,"['North Indian', 'Fast Food']"
Hotel Vedant Pure Veg,Katraj,3.3,73,600,"['North Indian', 'Chinese', 'Fast Food', 'Beverages', 'South Indian']"
New Szechuan Shack Family Restaurant,Pimpri,,0,500,['Chinese']
UK Blend,Kothrud,3.2,,150,"['Beverages', 'Desserts']"
Aunty's Kitchen,Dhankawadi,3.4,,200,['North Indian']
Jogeshwari Misal,Lohegaon,,0,150,['Street Food']
Purani Delhi,Hinjawadi,,0,400,['North Indian']
Haveli,Wagholi,3.5,16,600,"['North Indian', 'Chinese', 'Continental']"
Green Woods The Vegetarian Kitchen,Bhosari,3.3,,450,"['North Indian', 'Fast Food', 'Chinese', 'Beverages']"
Shree Narayan Khaman and Sweets,Dhankawadi,3,,,['Mithai']
Jivitva,Hinjawadi,3.3,,,['North Indian']
Café 24 - Mind Space Hotel,Pimpri,3.7,,1400,"['Bar Food', 'Maharashtrian', 'North Indian', 'Chinese']"
Pet Pooja Indian & Chinese Restaurant,Hadapsar,3.1,,400,['Chinese']
Burger Mela,SB Road - Aundh,2.8,10,300,"['Burger', 'Fast Food']"
Om Shree Chinese Restaurant,Pimple Gurav,3,,450,['Chinese']
A1 Pizza,Parvati,3,8,350,['Fast Food']
Ice Cream Factory,Kothrud,2.5,,250,"['Desserts', 'Ice Cream']"
Brihat,Balewadi,3.7,48,500,['Maharashtrian']
Cafe Delight,Talegaon,3.2,,400,"['Fast Food', 'Chinese']"
Relax Pure Veg,Katraj,3.5,63,800,"['Chinese', 'Fast Food', 'North Indian', 'Maharashtrian']"
Wink Meet & Eat,Baner,3.8,219,450,"['Continental', 'Burger', 'Fast Food', 'Italian', 'Pizza']"
Galaxy Cafe,Chakan,3.5,,350,['Cafe']
Al Nayaab,Yerawada,3,93,400,"['North Indian', 'Mughlai', 'Chinese']"
Shri Vyanktesh Pure Veg,Pimple Gurav,,0,250,"['North Indian', 'Street Food', 'Chinese']"
Ranwara Family Restaurant,Wagholi,3.5,107,500,"['North Indian', 'Chinese']"
Junglehood,Shivapur,3.6,101,1200,"['Continental', 'Momos']"
South & More,Model Colony,3.8,90,200,"['South Indian', 'North Indian']"
Riwayat,Viman Nagar,3.8,367,,"['Awadhi', 'Mughlai', 'Biryani', 'Lucknowi']"
Tarif Biryani House,Bavdhan,3.3,,300,"['Biryani', 'North Indian']"
Momos Hut,Pimple Gurav,3.5,25,100,['Momos']
Kohinoor Family Restaurant,Pimpri,3.3,10,500,"['North Indian', 'Chinese']"
Amrut Bhel,Sinhgad Road,3.7,13,200,['Street Food']
Papa's Choice,Wakad,3.8,351,300,['North Indian']
Rajeshahi Family Restaurant,Sinhgad Road,3.3,,600,"['North Indian', 'Chinese', 'Seafood']"
Hotel Garwa,Pune-Solapur Road,3.4,32,400,['North Indian']
Blackout 9 - Grand Exotica Business Hotel,Chinchwad,4.1,294,1300,"['Modern Indian', 'Chinese', 'Italian', 'Fast Food']"
Coffee Hub,Salunkhe Vihar Road,3.8,133,300,['Cafe']
Suras Dining Hall,Parvati,3.7,,500,['Maharashtrian']
Radha Krushna,Sinhgad Road,3.1,144,600,"['North Indian', 'South Indian', 'Chinese']"
Medhekar Misal,Kothrud,3.7,,150,['Street Food']
Purohit Pizza and Sandwich,Pimple Saudagar,3.7,,250,['Fast Food']
Purohit Sweets,Swargate,3.7,,200,"['Mithai', 'Street Food']"
Tara Mulchand Sweets,Bibvewadi,3.6,54,200,"['Mithai', 'Street Food']"
Gavkari,Warje,3.7,111,500,['Maharashtrian']
Goli Vada Pav No. 1,Hadapsar,3.5,79,150,['Street Food']
K P Biryaniwala,Pimple Nilakh,3.6,,350,['Biryani']
Saurashtra Ni Rasdhar,Baner,3.3,77,350,"['Gujarati', 'North Indian', 'Fast Food']"
Nawabi Rasoi,Kothrud,2.2,361,600,"['Biryani', 'North Indian', 'Chinese']"
Pind Punjab - Street Food & Sweets,Kharadi,2.9,38,700,"['North Indian', 'Chinese', 'Mithai']"
Hotel Kolhapuri Katta,Hadapsar,3.6,173,500,"['Maharashtrian', 'North Indian', 'Chinese']"
The Juicy Hub,Bavdhan,3.4,64,250,"['Beverages', 'Fast Food']"
Radhika AC Garden Resto,Lonavala,2.9,,600,"['North Indian', 'Chinese']"
Aaswad,Wakad,3.4,20,650,"['Chinese', 'North Indian', 'Mughlai', 'Hyderabadi']"
Radha Krishna,Hinjawadi,3.3,43,650,"['North Indian', 'South Indian', 'Chinese']"
Raibhan,Rasta Peth,3.3,,350,['Maharashtrian']
Kanak Restaurant,Viman Nagar,3.4,166,600,"['North Indian', 'Chinese', 'Mughlai']"
Paradise Cafe,Mulshi Road,2.3,189,600,"['North Indian', 'Chinese']"
Kolhapuri Tadka,Balewadi,3.2,,250,"['North Indian', 'Chinese', 'Seafood', 'Maharashtrian']"
Sidhu Punjabi Dhaba,Old Mumbai-Pune Highway,3.8,120,900,"['North Indian', 'Mughlai', 'Chinese', 'Kebab']"
Hotel Shreepad,Mulshi Road,3.9,100,400,"['Maharashtrian', 'North Indian']"
Hotel Jai Bhawani,Shivapur,3.8,122,600,"['North Indian', 'Maharashtrian']"
Rasoi Dining Hall,Shaniwar Peth,3.4,,450,['Maharashtrian']
Feast Cafe and Lounge - Spree Hotel,Pimpri,3.5,106,1200,"['North Indian', 'Chinese', 'South Indian']"
Kanak,Swargate,3.1,50,500,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']"
Ritz Restaurant,Camp Area,3.5,41,500,"['North Indian', 'South Indian', 'Fast Food']"
Sunrise Restaurant,Hinjawadi,2.8,15,1700,"['North Indian', 'Chinese']"
Royal Samrat,Bhosari,3,,400,"['North Indian', 'Chinese']"
Ketan Family Garden,Warje,3.5,,500,"['North Indian', 'Malaysian', 'Chinese', 'Biryani', 'Mughlai']"
Shruti Restaurant & Bar,Akurdi,3.7,99,1500,"['North Indian', 'Mughlai', 'Seafood', 'Chinese']"
Daily Treats - The Westin,Mundhwa,4.1,191,1200,"['Cafe', 'Continental', 'Fast Food', 'Italian', 'North Indian', 'Asian', 'Desserts', 'Beverages']"
The Raj Restaurant & Bar,Kothrud,3.5,54,1000,"['North Indian', 'Chinese', 'Seafood', 'Biryani', 'Mughlai']"
Crust Patisserie & Deli - Novotel,Viman Nagar,3.7,,900,"['Bakery', 'Desserts', 'Beverages', 'Cafe']"
V - Deck,Balewadi,3.7,517,1500,"['North Indian', 'Chinese', 'Continental', 'Seafood', 'Mangalorean']"
Shree Upahar Gruha,Sadashiv Peth,3.9,99,150,"['Fast Food', 'Street Food']"
Vaishali,Hadapsar,3.5,84,550,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Beverages']"
Hotel Harsh,Kothrud,3.7,162,900,"['Chinese', 'North Indian', 'Mughlai', 'Seafood']"
Kesar Family Restaurant,Balewadi,3.3,116,750,"['North Indian', 'Maharashtrian', 'Chinese']"
Al-Madina,Bhosari,0,0,300,['North Indian']
Fusion - Fariyas Holiday Resort,Lonavala,3.8,80,1500,"['North Indian', 'Continental', 'Chinese']"
Baarish,Aundh,3.4,30,1000,"['Chinese', 'Kebab', 'Seafood']"
Amalfi - Ambrosia Resort and Spa,Bavdhan,3.9,204,1700,"['Italian', 'Mediterranean']"
Panhalgad,Chinchwad,3.6,86,500,"['Maharashtrian', 'Chinese', 'North Indian']"
Osheen's Varhadi Rasoi Flavours From Nagpur,Wagholi,3.3,,350,['Maharashtrian']
Two Friends,Dhankawadi,0,0,,"['North Indian', 'Healthy Food', 'Beverages']"
The American Street,Viman Nagar,3.8,,,['American']
Himanish's Cusine Veg & Non Veg,Wakad,0,0,350,['North Indian']
Dumb & Dumber,FC Road,3.5,112,2000,"['Fast Food', 'Bar Food', 'European']"
Indigo Burger Project,Hadapsar,2.9,29,500,"['Burger', 'American', 'Fast Food']"
R.K Chinese House,Katraj,3.5,34,300,['Chinese']
Amma Foods,Kharadi,3.5,53,300,['South Indian']
CakeZone,Mundhwa,4,263,400,['Bakery']
Kibbeh,Aundh,3.9,374,300,['Lebanese']
Café Arabian Delight,Kondhwa,2.9,297,400,"['Lebanese', 'Mughlai']"
PGI Restaurant,Rasta Peth,3.8,59,600,"['North Indian', 'Chinese', 'Seafood']"
Reddy's Variety Biryani,Pimple Nilakh,,0,300,"['Hyderabadi', 'North Indian', 'Chinese']"
The Pizza Rocks Cafe,Hadapsar,3,,400,"['Pizza', 'Fast Food']"
Hotel Siddhi,Karve Nagar,3.1,,600,"['North Indian', 'Maharashtrian', 'South Indian']"
Cafe Bonjour,Vishrantwadi,3.1,,300,"['Fast Food', 'Beverages']"
Ande Ka Funda,Shivane,0,0,,['Fast Food']
Maai Foods,Nigdi,0,0,250,['North Indian']
Tea Point & Snacks,Wagholi,0,0,150,"['Beverages', 'Street Food']"
Hotel Shri Mahadeva,Pimpri,,0,200,"['South Indian', 'Street Food']"
Rolls Company,Wagholi,,0,200,['Rolls']
Chai Tapri,Baner,3.8,93,300,"['Street Food', 'Tea']"
Kuch Light Kuch Delight,Nigdi,3,,200,"['North Indian', 'Fast Food']"
Happy Da Dhaba,Sinhgad Road,3.4,,,['North Indian']
Cheezy Bites,Kothrud,3.4,,400,"['Sandwich', 'Fast Food']"
Grub Mix,Kothrud Area,3.3,,,"['Healthy Food', 'Salad', 'Fast Food']"
Torso Curl - The Gym Cafe,Baner,3.2,,500,"['Healthy Food', 'Beverages']"
Snacks N Shakes,Wakad,3.7,,400,"['Sandwich', 'Beverages', 'Fast Food']"
AK Rolls Delight,Hadapsar,,0,200,"['North Indian', 'Chinese', 'Rolls']"
Delhi Chaat,Balewadi,,0,150,['Street Food']
Live Cake,Wanowrie,3.3,,400,"['Bakery', 'Biryani']"
Cafe Pizza Times,Sinhgad Road,,0,300,"['Pizza', 'Fast Food']"
Swara Caffee,Bavdhan,3.1,,450,"['Chinese', 'North Indian', 'Fast Food']"
Lai Bhari Kolhapuri,Hinjawadi,3.2,,300,['Maharashtrian']
TBar Cafe,Hadapsar,3.5,,300,['Cafe']
Yo! Paajis,Vishrantwadi,3.7,140,500,"['North Indian', 'Chinese']"
Tasty Chinese Rolls & Momos,Wakad,3,8,,['Chinese']
Food Flavour,Wagholi,3.2,26,300,"['Chinese', 'South Indian']"
Icon Tower Canteen,Baner,,0,300,"['Fast Food', 'South Indian', 'Maharashtrian']"
Chintoo's - The Foodies Hub,Pimpri,3.5,32,600,"['North Indian', 'Chinese']"
Cafe Cremyz 14,Dange Chowk,3,,300,['Fast Food']
Mayur Pavbhaji & Fast Food,Ravet,3.5,,250,"['Street Food', 'South Indian', 'Fast Food']"
Matruchhaya Malvani Restaurant,Ravet,3.9,62,600,"['Malwani', 'Seafood']"
Foodsway Caffe Express,Shivaji Nagar,3.2,16,,['Fast Food']
The Dream Kitchen,Magarpatta,3.9,412,800,"['North Indian', 'Chinese']"
Reddy Vada Pav,Vishrantwadi,3.6,29,,['Street Food']
Spotea,Bavdhan,,0,300,"['Maharashtrian', 'South Indian']"
Jalebi Junction,Kalyani Nagar,3.5,30,150,['Street Food']
Temptations,Wakad,3.5,19,150,['Desserts']
Hotel Vishranti,Vishrantwadi,3.4,,650,"['North Indian', 'Chinese', 'Malwani', 'Biryani']"
Hotel Basri,Baner,3.6,34,900,"['North Indian', 'Chinese']"
Hotel Green Villa,Bhugaon,3.2,,500,"['North Indian', 'Chinese']"
Shree Sai Pure Veg,Mundhwa,2.7,58,550,"['Fast Food', 'Chinese', 'North Indian']"
Deelasa Chinese Fastfood,Sinhgad Road,3.1,,250,['Chinese']
Royal Woods,Old Mumbai-Pune Highway,3.3,,850,"['North Indian', 'Chinese', 'Malwani', 'Biryani', 'Maharashtrian', 'Kebab']"
Babbi Daa Punjabi Dhaba,Old Mumbai-Pune Highway,3.6,131,500,"['North Indian', 'Chinese']"
Samarth Pav Bhaji Juice Centre,Karve Nagar,3.7,89,300,"['Fast Food', 'Juices']"
Punjabi Grill,Hadapsar,3.7,,400,['North Indian']
Dalchini Veg & Non Veg,Hadapsar,3.4,104,600,"['Chinese', 'North Indian', 'Seafood', 'Mughlai']"
Badashahi,Baner,3.3,43,300,['Maharashtrian']
Cafe Hormuz,Viman Nagar,3.8,241,500,"['North Indian', 'Chinese', 'Fast Food', 'Beverages']"
Samadhan Lunch Home,Kharadi,3.3,,200,['North Indian']
Deepak Sweets,Aundh,3.7,32,100,"['Mithai', 'Street Food']"
Orchid Multi-Cuisine Restaurant - Fortune Inn Exotica,Hinjawadi,3.4,133,1000,"['Bar Food', 'North Indian']"
Mankar Dosa,Kondhwa,3.5,67,300,"['South Indian', 'Street Food', 'Fast Food']"
Hotel Amchee,Karve Nagar,3.3,16,600,"['North Indian', 'Chinese', 'Biryani']"
Hira Garden,Pune-Solapur Road,3.2,,500,"['North Indian', 'Chinese']"
The Single Malt And Co. - Hyatt Regency Pune,Viman Nagar,4,84,1950,['Finger Food']
Roopalli,Dhole Patil Road,3.4,31,550,"['North Indian', 'Chinese']"
Punjabi Rasoi,Pimpri,3.3,93,300,"['Fast Food', 'North Indian']"
Welcome To Khau Galli,Sinhgad Road,3.5,39,300,"['North Indian', 'Street Food', 'Chinese']"
Baba's Veg Non Veg,Erandwane,3.8,214,700,"['North Indian', 'Chinese']"
Step Inn Resto Bar,FC Road,3.7,100,1300,"['North Indian', 'Chinese', 'Biryani']"
Cafe Joshua,Aundh,3.9,232,500,['Cafe']
Hotel Swagat,Kothrud,3.1,,400,"['North Indian', 'South Indian']"
Srushti Family Garden Restaurant,Sinhgad Road,3,4,500,"['North Indian', 'Chinese']"
Mango Sweets,Baner,3.6,,200,"['Mithai', 'Street Food']"
Namrata Hotel,Khadki,0,0,250,['North Indian']
Shrimanti Misal And Snacks,Tilak Road,3.6,43,100,"['Street Food', 'Maharashtrian']"
Zaika Fast Food,Senapati Bapat Road,3.5,56,250,"['Chinese', 'Fast Food', 'Beverages']"
China Dragon,Kharadi,2.9,251,400,['Chinese']
90's Boy Pizza,Baner,3.6,141,,"['Pizza', 'Italian', 'Fast Food']"
Spice Fusion Multi-Cuisine Fine Dine,Pimpri,3.8,252,1200,"['North Indian', 'Mughlai', 'Asian', 'Italian']"
Andhra Mess,Hinjawadi,3.8,89,250,"['South Indian', 'Andhra']"
Radhika - Flavours of East,Kharadi,3.5,,750,"['Bengali', 'Chinese', 'Biryani']"
Cake Shake,Viman Nagar,3.9,203,400,"['Bakery', 'Desserts', 'Fast Food', 'Ice Cream', 'Beverages']"
Gara's Cafe,Kharadi,3.4,,200,"['Fast Food', 'Beverages']"
The Porch - Restaurant & Bar,Wakad,0,0,1000,"['Biryani', 'Chinese', 'North Indian', 'Continental', 'Thai', 'Seafood', 'Desserts']"
Jayesh A1 Sandwiches,Kothrud,3.6,,450,"['Sandwich', 'Pizza', 'Fast Food']"
Cake N Balloons,Kothrud,3.4,,300,['Bakery']
The Queen's Plate,Bibvewadi,3.4,,400,['Rajasthani']
Hotel Rajdhani,Katraj,0,0,450,['Maharashtrian']
Talli Nation,Mundhwa,2.8,,1100,"['North Indian', 'Chinese']"
Deeps Katta,Pimple Saudagar,3.1,,100,"['Fast Food', 'North Indian']"
Chai Villa,Pimple Nilakh,3.2,,200,"['Tea', 'Fast Food']"
Menchie's Frozen Yogurt,Aundh,2.5,14,300,"['Ice Cream', 'Desserts', 'Frozen Yogurt']"
Mike N Yankees,Model Colony,3.7,105,400,['Fast Food']
Woodland's Express,Dhole Patil Road,3.4,,400,"['Chinese', 'North Indian', 'South Indian', 'Fast Food']"
Cafe Diamond Queen,Camp Area,3.8,196,650,"['North Indian', 'Maharashtrian', 'Chinese']"
NCC Canteen,Senapati Bapat Road,3.5,295,500,"['Fast Food', 'North Indian', 'South Indian', 'Chinese']"
Sugran's Kolhapuri Non Veg,Sadashiv Peth,3.7,88,650,"['Malwani', 'Mughlai', 'North Indian']"
Chaitanya,Aundh,3.3,81,450,"['North Indian', 'Chinese']"
Green Thing,Wadgaon Sheri,3.4,226,500,"['North Indian', 'Chinese', 'South Indian']"
Relax Point,Chandan Nagar,3.5,,600,"['North Indian', 'Chinese']"
Tamanna Multi Cuisine Restaurant & Bar,Hinjawadi,2.9,378,1500,"['North Indian', 'Chinese', 'Continental', 'South Indian']"
Shangri-La Kamalbaug,Wagholi,3.6,220,700,"['Street Food', 'South Indian', 'Mughlai', 'North Indian', 'Chinese']"
The Matka Biryani,Hadapsar,,0,,"['Biryani', 'Mughlai']"
Mumbai Masalaa,Lonavala,3.6,,1200,"['North Indian', 'Chinese', 'Italian', 'Continental', 'Sandwich', 'South Indian', 'Beverages']"
Frozen Shakes,Karve Nagar,,0,300,['Beverages']
Bowl Na!,Wakad,,0,,"['Biryani', 'Mughlai', 'North Indian', 'Desserts', 'Beverages']"
Burger Point,Kothrud,3.5,0,200,['Fast Food']
Cafe Full Stomach,Balewadi,0,0,,['Chinese']
7T2 Hungers,Hadapsar,0,0,350,"['North Indian', 'Fast Food']"
Frost And Feather,Kothrud,0,0,200,"['Chinese', 'Fast Food']"
The Greenhouse,Bavdhan,0,0,250,"['Chinese', 'North Indian']"
Friends Garden,Kothrud,0,0,250,['Chinese']
3D Moms,Kothrud,0,0,100,['Maharashtrian']
Jai Bhavani Khanawal,Wagholi,0,0,300,['Maharashtrian']
Snapchat Cafe,Wakad,0,0,250,['Fast Food']
Sher Da Punjab,Hadapsar,3.7,,550,"['North Indian', 'Chinese', 'Seafood']"
Rangoli Dhaba,Wakad,3,,250,"['Rajasthani', 'North Indian', 'Chinese']"
Garma Garam - The Authentic Street Food,Wakad,3.7,,400,"['Street Food', 'Mithai', 'Beverages']"
Masti Katta,Pimpri,3.9,200,100,['Street Food']
Gundam Katta,Nigdi,3.4,,500,"['Maharashtrian', 'North Indian']"
The Village Corner,Bibvewadi,3.5,,200,"['Cafe', 'Fast Food']"
Marathi Zatkaa,Lonavala,3.3,,250,"['North Indian', 'Street Food']"
Collective Creams,Aundh,3.7,,200,"['Desserts', 'Ice Cream']"
Punjabi Paratha,Kharadi,3.4,18,,['North Indian']
Malashree Pure Veg,Hinjawadi,3.2,,600,"['North Indian', 'Chinese']"
Karwar Katta,Pimpri,3.5,,600,['Seafood']
Deokar Biryani House,Lohegaon,3.2,,500,['North Indian']
Chao Mung China,Kharadi,,0,400,['Chinese']
Shivar Misal House,Shaniwar Peth,,0,100,['Maharashtrian']
Misal Katta,Pimple Saudagar,,0,200,['Maharashtrian']
The Cafe Evening,Wagholi,3.1,,200,['Fast Food']
Annapurna Restaurant,Wagholi,2.7,8,500,"['North Indian', 'South Indian', 'Chinese', 'Mughlai']"
D K Khan Caterers,Kharadi,,0,250,"['North Indian', 'Biryani', 'Chinese']"
Srushti Garden,Vishrantwadi,2.8,,600,"['North Indian', 'South Indian', 'Street Food', 'Beverages']"
Streeeto Tandoori,Kharadi,3.8,,250,['Chinese']
Absolute Punjab,Aundh,3.3,,,['North Indian']
That's Eat,Hinjawadi,3.7,,400,"['North Indian', 'Chinese', 'Fast Food']"
Bistro 57,Magarpatta,3.7,,250,"['Fast Food', 'Beverages']"
Tea Essence Cafe,Hinjawadi,,0,150,"['Tea', 'Street Food']"
M & K Fast Food Hub,Dhankawadi,3.6,,200,"['Fast Food', 'Street Food']"
Bake Mary Cafe,Camp Area,3,,400,"['Fast Food', 'Beverages']"
Fuel Blend,Wadgaon Sheri,,0,,['Beverages']
OMG Food & Cafe,Katraj,,0,200,"['Cafe', 'Fast Food', 'Beverages']"
Anda Bhurgi Special,Sinhgad Road,,0,250,['Fast Food']
Siddhesh's MH 13 Restaurant,Kothrud,,0,350,"['South Indian', 'North Indian']"
Petoo,Hadapsar,3.3,,400,"['North Indian', 'Biryani']"
Perfect Food Services,Kondhwa,,0,,['Kebab']
Reva Misal,Warje,3,,200,['Street Food']
Desi Flavours,Pimple Saudagar,,0,350,"['Fast Food', 'Ice Cream', 'Desserts']"
Creaminal Treats,Hadapsar,3.3,,200,"['Desserts', 'Ice Cream']"
Sri Satyadeva Hotel,Hadapsar,,0,250,"['South Indian', 'North Indian', 'Chinese']"
Hitler's Cross,Pimpri,,0,350,['Chinese']
Cockatoo - The Fusion Bar & Eatery,Wakad,3.9,47,1100,"['North Indian', 'Fast Food']"
Sairat Chinese And Tandoor Point,Kharadi,3,,300,['Chinese']
Appa's Gurudev Sandwich & Pizza Corner,Sadashiv Peth,3.1,6,,"['Fast Food', 'Pizza']"
Moshing Cuppa,Hinjawadi,3.8,66,400,['Cafe']
Mr. Murga Biryani,Karve Nagar,3.3,,400,"['North Indian', 'Chinese']"
Bake Mary Cafe,East Street,3.1,,400,['Cafe']
S.K. Chinese Point,Camp Area,,0,300,['Chinese']
Anna Dosa,Wagholi,3,,200,"['South Indian', 'Fast Food', 'Beverages']"
Rajmudra,Sadashiv Peth,3.3,,400,"['North Indian', 'South Indian']"
Hotel Alnoor,Aundh,3.2,36,600,"['North Indian', 'Seafood', 'Chinese']"
Hotel Annapurna,Akurdi,2.9,112,350,['Maharashtrian']
A Taste Of Indore - Fun Food,Kondhwa,3.4,26,100,['Street Food']
